id,name,lat,lng,vicinity,kecamatan,kabupaten,rating,user_ratings_total,price,jenis_sepakbola,jenis_badminton,jenis_tenis,jenis_voli,jenis_futsal,jenis_basket,fasilitas_wifi,fasilitas_parkir_motor,fasilitas_parkir_mobil,fasilitas_wc,fasilitas_kantin,fasilitas_mushola
S107,Lapangan Watusigar,-7.8640291,110.6896953,"4MPQ+9VP, Watusigar, Kabupaten Gunung Kidul",Watusigar,Gunung Kidul,4.2,18,49000,1,0,0,0,0,0,0,1,0,0,1,1
S790,Lapangan Voly Sambirejo,-7.813273,110.7203034,"5PPC+M4V, Jl. Semin-Cawas, Sambirejo IV, Sambirejo, Kabupaten Gunung Kidul",Sambirejo,Gunung Kidul,5,1,44000,1,0,0,0,0,0,0,0,0,1,1,0
S52,Stadion Sepak Bola Ngawen,-7.8468543,110.6821996,"5M3J+7V4, Grojokan, Beji, Kabupaten Gunung Kidul",Beji,Gunung Kidul,4.8,4,47000,1,0,0,0,0,0,1,0,1,0,0,0
F454,Lapangan PencilBendung,-7.8503009,110.7264686,"4PXG+VHJ, Pencil, Bendung, Kabupaten Gunung Kidul",Bendung,Gunung Kidul,4.8,5,55000,0,0,0,0,1,0,0,0,1,0,0,1
V169,Lap Voly Bintang Utara,-7.8042284,110.6762923,"5MWG+8G3, Joro, Tancep, Kabupaten Gunung Kidul",Tancep,Gunung Kidul,5,1,75000,0,0,0,1,0,0,0,0,0,0,1,1
V857,Lapangan Badminton Ngunut,-7.8682581,110.6678487,"4MJ9+M4X, Unnamed Road, Jeruklegi, Katongan, Kabupaten Gunung Kidul",Katongan,Gunung Kidul,3.6,8,42000,0,0,0,1,0,0,0,1,0,1,1,1
V607,Gelora Sumur Gede,-7.8136789,110.6803284,"5MPJ+G4G, Kaliwuluh, Jurangjero, Kabupaten Gunung Kidul",Jurangjero,Gunung Kidul,5,4,66000,0,0,0,1,0,0,1,0,0,1,0,1
V112,Lapangan Bola,-7.8644052,110.7246399,"4PPF+6VJ, Bendung, Kabupaten Gunung Kidul",Bendung,Gunung Kidul,1,1,49000,0,0,0,1,0,0,1,0,0,1,0,0
V874,Lapangan Pangkah,-7.8311629,110.7550108,"5Q94+G2J, Padas, Candi Rejo, Kabupaten Gunung Kidul",Candi Rejo,Gunung Kidul,4.2,53,35000,0,0,0,1,0,0,1,0,1,1,0,0
V797,Lapangan Rejosari,-7.858477,110.7722028,"Jl. Semin-Manyaran No.Km.5, Kepuh, Rejosari, Kabupaten Gunung Kidul",Rejosari,Gunung Kidul,4,5,61000,0,0,0,1,0,0,0,1,1,1,0,0
V927,Lapangan Sepak Bola Pringgodani Kutugan,-7.8917352,110.7640385,"4Q57+8J3, Kutugan, Pundung Sari, Kabupaten Gunung Kidul",Pundung Sari,Gunung Kidul,4,3,69000,0,0,0,1,0,0,1,1,0,1,0,0
V684,Lapangan Pundungsari,-7.8659744,110.7403716,"4PMR+J49, Unnamed Road,, Pundungsari, Pundung Sari, Kabupaten Gunung Kidul",Pundung Sari,Gunung Kidul,4.4,76,79000,0,0,0,1,0,0,1,0,1,1,1,1
